HydroSHEDS_ID CHIRPSv2.0 CMORPHv0.x-RAW CPC-Unifiedv1.0 CRU-TSv4.03 ERA5-Land ERA5 GPCCv7.0 PERSIANN-CCS PERSIANN-CDR PERSIANN PREC-Land SM2RAIN-CCI TRMM-3B42RT TRMM-3B43 UDELv5.0
1051419980 938.519 1256.165 526.912 1026.716 1101.128 1097.63 1052.612 2016.55 994.623 1393.341 974.513 626.109 1014.366 1003.394 945.287
1051377550 1143.698 1343.684 567.77 1156.467 1325.281 1326.74 1247.013 2330.699 1169.733 1685.994 1195.273 1023.847 1226.232 1230.716 1138.822
1051377560 1235.833 1459.198 693.792 1258.922 1439.086 1442.087 1352.327 2453.799 1211.558 1725.34 1346.617 777.573 1295.437 1306.764 1332.099
1050011670 1275.454 824.973 1206.713 1377.524 883.008 933.715 1184.589 939.349 994.521 812.381 1182.554 637.736 1037.83 1080.31 813.755
1050011960 1104.213 835.48 1004.307 1149.992 915.115 944.56 1205.047 1063.077 971.101 868.255 1170.8 852.142 1085.708 1134.358 1087.568
1050011970 1229.036 833.315 1225.563 1268.006 818.487 860.035 1160.992 894.788 950.472 809.091 1169.52 712.506 1062.008 1097.041 978.278
1050012020 1082.612 792.898 1028.601 931.924 977.489 1007.875 1115.105 957.419 867.983 761.889 981.833 597.994 994.361 1024.19 984.472
1050012030 968.482 766.54 1066.026 1085.36 684.455 760.546 1017.654 821.858 845.046 733.604 930.876 655.241 983.071 1026.483 797.233
1050012210 680.001 591.412 738.664 733.183 705.788 742.097 689.215 772.831 683.93 616.784 690.706 610.143 716.669 722.149 633.185
1050012220 895.966 588.378 760.572 950.481 592.312 699.76 895.779 598.093 785.653 574.972 843.076 444.1 807.375 819.419 683.261
1050012540 793.688 577.764 725.103 934.566 586.991 632.757 852.163 564.017 720.531 537.146 773.844 644.731 790.589 807.494 621.477
1050012550 835.651 515.18 739.137 1011.131 702.838 740.5 970.717 527.657 726.81 528.872 854.084 538.022 753.299 809.611 738.011
1050012590 839.378 493.097 727.486 941.1 650.008 689.591 931.947 559.653 744.307 542.613 815.049 265.429 818.578 902.339 662.267
