HydroSHEDS_ID AVHRR-NTSG BESS CSIRO-PMLv2.0 ERA5-Land FLDAS FluxCom-RS FluxCom-RSM GLDASv2.1 GLEAMv3.3a GLEAMv3.3b MOD16A3 SSEBOpv4.0
1050011130 960.568 943.342 462.561 338.114 924.198 1133.176 1064.03 814.104 766.903 788.466 991.123 869.932
1050011180 1092.69 971.694 901.364 353.65 1082.892 1202.987 1034.925 851.316 812.338 828.312 1030.981 895.224
1050011190 1184.58 1000.719 960.529 369.587 1120.198 1246.149 1105.405 851.333 901.933 919.398 1108.799 981.309
1050011420 1139.274 980.529 963.906 387.788 1164.592 1220.059 1066.007 844.573 908.692 924.065 1058.224 975.086
1050011430 1131.737 998.672 978.014 372.682 1049.036 1208.258 1133.679 842.776 948.994 945.425 1073.216 1066.487
1050011500 1181.323 972.562 978.728 345.715 1074.093 1242.987 1124.63 820.962 865.369 868.068 1108.993 1026.212
1050011510 967.305 968.616 518.858 391.659 746.773 891.795 1215.187 868.055 1446.994 1453.215 912.538 1122.849
1050011530 1065.552 962.806 509.509 345.609 975.744 1156.388 1198.328 843.147 942.225 951.555 1038.627 992.765
1050011660 993.558 961.09 721.968 287.787 890 1116.852 1117.282 785.979 724.723 741.734 939.555 945.205
1051472390 946.088 907.969 835.195 367.93 889.967 983.264 942.526 724.36 757.151 766.054 816.853 745.988
1051472430 791.581 827.282 745.059 279.274 737.459 966.336 933.577 712.329 642.819 649.898 712.556 757.29
1051447780 652.807 779.468 614.126 278.038 689.169 886.407 874.114 676.218 606.442 603.817 624.713 753.978
1051447890 749.588 810.721 729.134 281.538 723.384 986.888 809.337 632.009 613.756 621.354 606.412 588.423
1051443690 946.217 910.44 783.97 337.524 898.179 1072.048 888.223 720.841 668.88 674.495 809.75 752.455
1051443680 735.371 781.699 648.945 302.787 735.032 942.545 850.898 708.495 629.478 626.741 663.143 840.694
1051430860 834.525 849.839 675.91 343.057 733.015 901.263 845.007 663.94 724.984 734.37 618.213 848.591
1051430830 912.24 888.021 803.766 341.308 872.254 1084.981 868.888 728.034 712.133 719.062 732.844 863.602
1051398950 835.579 856.412 762.339 339.099 848.307 943.783 788.169 689.597 727.083 742.645 720.787 496.242
1051398880 1222.22 999.521 380.561 494.765 995.713 621.988 758.84 447.842 1031.812 1042.313 793.677 975.448
1051431950 752.306 843.053 662.391 312.73 716.161 989.593 782.931 661.897 632.595 646.352 580.442 663.585
1051431940 763.32 877.729 649.765 346.755 721.138 942.778 874.113 719.897 666.694 680.919 632.877 1206.786
1051382440 832.178 883.218 771.108 319.721 859.179 961.973 789.236 754.012 614.413 634.988 687.491 621.78
1051382340 1338.793 996.413 0 554.164 979.276 579.961 988.175 311.99 1328.022 1344.508 829.768 1059.968
1051431680 801.369 836.284 663.86 333.834 729.077 1049.723 843.823 684.149 652.566 662.354 650.657 940.815
1051431480 877.888 882.306 684.188 363.869 769.436 1122.209 886.032 686.078 708.126 721.278 702.964 1096.086
1051378410 1444.323 970.715 491.337 555.66 1050.709 445.259 732.69 357.902 1164.744 1172.119 953.684 1096.421
1051378400 955.252 911.737 810.279 324.586 867.679 983.189 810.378 687.13 626.657 645.692 799.534 752.1
1051418940 866.72 923.069 817.64 351.273 852.533 1139.358 906.103 772.473 724.63 736.759 709.595 884.748
1051418880 958.233 928.853 808.841 339.391 823.168 1151.986 851.891 721.633 688.719 715.721 705.147 871.796
1051438780 820.493 860.89 667.929 328.364 774.058 1067.608 818.447 727.222 657.629 673.463 572.631 793.184
