"HydroSHEDS_ID" "Latitude" "Longitude" "Area" "Elevation" "Slope" "CTI" "NDVI"
"1051626200" -30.6948 21.1652 85063.1 1106.1937 1.6492 11.2824 0.166
"1051626210" -29.7095 22.8301 71225.1 1145.5414 1.9044 11.2101 0.24
"1051609270" -27.267 22.7914 40070.4 1148.7902 1.0348 12.0912 0.296
"1051609210" -26.9123 20.6651 33.3 861.4764 0.9331 11.6127 NA
"1051608780" -26.5157 20.5095 1287.3 902.3242 0.9864 11.5577 0.227
"1051608790" -25.3315 23.3629 114574 1098.8351 0.2873 13.0105 0.301
"1051604190" -26.011 21.3982 5432.5 961.1573 0.2034 13.2613 0.239
"1051604130" -24.2204 18.591 58855.5 1254.9556 1.0815 11.9923 0.238
"1051601200" -24.3911 21.1218 39903.3 1109.553 0.1737 13.3375 0.236
"1051601190" -23.457 19.3103 54648.9 1307.7915 0.5486 12.4354 0.258
"1051629430" -30.1531 26.6501 98763.6 1715.4926 7.2535 9.967 0.372
"1051629370" -28.7761 23.6043 2011.6 1286.8034 0.9726 11.8363 0.336
"1051628750" -28.4624 23.8731 6292.3 1301.519 1.0718 11.8948 0.354
"1051628760" -29.2538 25.6001 35678.7 1317.825 1.3002 11.4393 0.342
"1051623250" -27.1643 24.9207 31051.2 1333.0733 0.6213 12.1334 0.362
"1051623270" -28.112 25.2134 14063 1251.275 0.643 12.0105 0.351
"1051616230" -27.022 27.1657 51157 1452.0532 1.3274 11.3571 0.391
"1051616280" -28.3694 26.884 18982.3 1418.4653 1.5449 11.3482 0.369
"1051608870" -26.9827 29.3877 20299.2 1655.0009 2.5933 10.5878 0.445
"1051608860" -27.8891 28.7368 17977.9 1696.3327 3.6804 10.3494 0.437
"1050015860" -25.7903 15.2249 22659.2 301.5554 2.8636 10.526 0.076
"1050016760" -23.2616 15.8196 16814.8 1055.3442 5.1285 10.1989 0.16
"1050016770" -22.9455 14.9981 3965.9 427.8977 1.1677 11.3471 0.074
"1050016850" -22.2011 16.1711 29452 1227.8435 4.1849 10.3837 0.235
"1050016860" -21.6315 14.9771 25185.5 748.3168 2.0014 11.0762 0.138
"1050017350" -20.6004 15.6461 29440.6 1110.5794 2.7574 11.0025 0.267
"1050017360" -21.0031 13.6625 705.7 105.0858 1.5151 11.1607 0.068
"1050017390" -20.1711 14.6124 16730 915.5129 4.4179 10.3209 0.212
"1050017400" -18.9152 13.2514 56886.6 785.1765 5.5184 10.071 0.166
"1050018110" -17.2717 11.7562 6 5.0246 0.8223 11.5866 NA
"1050018120" -17.1929 13.4894 29863.7 1022.8034 5.6678 10.3607 0.342
"1051455380" -16.251 15.1881 4235.5 1137.6033 0.3156 12.7332 0.489
"1051455270" -15.6842 14.3817 24373.5 1306.0137 1.1396 11.6714 0.538
"1051440140" -15.0472 15.9353 6958.4 1366.7169 1.4219 11.0448 0.586
